Kab;NamaPos;Lintang;Bujur;Elevasi;Tahun;Bulan;Tgl 1;Tgl 2;Tgl 3;Tgl 4;Tgl 5;Tgl 6;Tgl 7;Tgl 8;Tgl 9;Tgl 10;Tgl 11;Tgl 12;Tgl 13;Tgl 14;Tgl 15;Tgl 16;Tgl 17;Tgl 18;Tgl 19;Tgl 20;Tgl 21;Tgl 22;Tgl 23;Tgl 24;Tgl 25;Tgl 26;Tgl 27;Tgl 28;Tgl 29;Tgl 30;Tgl 31
Bogor;Katulampa;-66.333;1.068.342;361;2011;1;0;0;8;3;49;26;0;0;27;0;9;0;58;0;0;6;3;0;0;2;10;0;0;0;0;23;0;3;8;0;0
Bogor;Katulampa;-66.333;1.068.342;361;2011;2;3;0;12;18;14;0;21;0;0;0;0;2;31;5;0;49;0;0;0;0;0;0;0;0;2;0;9;13;0;0;0
Bogor;Katulampa;-66.333;1.068.342;361;2011;3;0;0;7;1;2;12;0;8;29;0;0;1;19;0;0;0;35;8;2;20;0;5;0;5;11;31;0;0;5;12;9
Bogor;Katulampa;-66.333;1.068.342;361;2011;4;3;0;12;11;2;7;24;14;0;0;0;34;0;8;0;0;0;4;0;52;4;4;9;5;7;85;25;0;0;8;0
Bogor;Katulampa;-66.333;1.068.342;361;2011;5;28;32;0;0;12;3;2;9;0;12;2;0;1;15;5;11;0;0;0;9;0;44;19;35;0;70;0;0;0;7;23
Bogor;Katulampa;-66.333;1.068.342;361;2011;6;26;0;2;14;0;0;14;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;9;50;78;16;0
Bogor;Katulampa;-66.333;1.068.342;361;2011;7;0;0;0;41;26;0;0;0;0;2;0;0;24;12;0;0;60;0;29;0;0;0;38;0;0;0;0;0;0;0;0
Bogor;Katulampa;-66.333;1.068.342;361;2011;8;0;0;0;0;0;0;0;0;0;0;0;0;0;15;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0
Bogor;Katulampa;-66.333;1.068.342;361;2011;9;11;0;0;0;0;0;16;0;0;0;0;0;0;0;10;1;17;1;21;6;0;0;0;0;24;0;0;32;0;0;0
Bogor;Katulampa;-66.333;1.068.342;361;2011;10;0;0;0;0;9;0;0;12;0;0;12;7;0;0;0;0;3;0;0;7;2;13;23;0;46;29;86;28;5;13;10
Bogor;Katulampa;-66.333;1.068.342;361;2011;11;4;0;5;0;0;0;0;0;0;0;47;22;13;5;28;0;62;29;2;0;1;2;0;9;6;0;4;0;4;8;0
Bogor;Katulampa;-66.333;1.068.342;361;2011;12;12;35;0;28;0;0;16;12;0;3;0;0;0;45;17;0;0;0;17;2;0;0;19;102;22;2;99;2;0;57;0
Bogor;Katulampa;-66.333;1.068.342;361;2012;1;11;0;0;5;29;27;13;5;0;12;8;8;59;27;29;32;15;0;34;3;4;0;9;0;4;20;5;11;4;45;5
Bogor;Katulampa;-66.333;1.068.342;361;2012;2;0;7;10;0;38;4;0;5;0;0;49;3;2;0;34;14;51;0;23;17;0;106;26;0;16;17;0;16;12;0;0
Bogor;Katulampa;-66.333;1.068.342;361;2012;3;5;4;0;5;0;0;43;0;3;0;0;8;0;0;0;0;2;0;0;0;0;0;0;0;61;2;0;0;14;2;15
Bogor;Katulampa;-66.333;1.068.342;361;2012;4;0;30;43;0;0;1;3;0;0;0;28;15;23;4;0;13;0;13;9;47;0;4;0;0;0;0;0;0;22;2;0
Bogor;Katulampa;-66.333;1.068.342;361;2012;5;0;0;0;0;3;57;0;7;0;0;0;0;4;0;0;0;8;35;0;0;0;0;112;35;0;0;0;0;3;0;2
Bogor;Katulampa;-66.333;1.068.342;361;2012;6;0;23;0;0;0;56;6;12;0;0;63;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Bogor;Katulampa;-66.333;1.068.342;361;2012;7;0;0;6;4;0;0;0;0;14;0;11;0;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0
Bogor;Katulampa;-66.333;1.068.342;361;2012;8;0;0;0;0;0;0;10;0;0;0;0;90;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1
